id,tipo_prenda,talla,color,cantidad_disponible,precio_50_u,precio_100_u,precio_200_u,disponible,categoria,descripcion
001,Pantalón,XXL,Verde,177,1058,1182,462,TRUE,Deportivo,Ideal para uso diario.
002,Camiseta,XXL,Blanco,33,510,975,739,TRUE,Deportivo,Prenda cómoda y ligera.
003,Camiseta,S,Negro,457,1292,457,873,TRUE,Casual,Diseño moderno y elegante.
004,Falda,S,Blanco,414,1138,986,386,TRUE,Casual,Ideal para uso diario.
005,Sudadera,XL,Verde,151,603,799,367,TRUE,Formal,Diseño moderno y elegante.
006,Chaqueta,S,Amarillo,223,961,636,1014,TRUE,Deportivo,Prenda cómoda y ligera.
007,Pantalón,L,Gris,436,1331,1222,516,TRUE,Deportivo,Diseño moderno y elegante.
008,Falda,XXL,Blanco,441,1286,1306,613,TRUE,Casual,Prenda cómoda y ligera.
009,Sudadera,L,Azul,187,889,991,608,TRUE,Casual,Material de alta calidad.
010,Pantalón,XXL,Gris,462,647,1149,542,TRUE,Formal,Diseño moderno y elegante.
011,Chaqueta,S,Azul,65,464,1109,555,TRUE,Deportivo,Material de alta calidad.
012,Pantalón,M,Blanco,65,786,941,640,TRUE,Formal,Material de alta calidad.
013,Falda,XL,Azul,454,762,1123,898,TRUE,Deportivo,Material de alta calidad.
014,Chaqueta,L,Gris,193,430,903,940,TRUE,Casual,Diseño moderno y elegante.
015,Falda,L,Azul,246,952,530,1107,TRUE,Deportivo,Prenda cómoda y ligera.
016,Falda,XL,Blanco,301,883,693,615,FALSE,Formal,Prenda cómoda y ligera.
017,Camiseta,S,Azul,348,1128,1351,737,TRUE,Deportivo,Material de alta calidad.
018,Falda,L,Gris,39,1224,1394,763,FALSE,Deportivo,Prenda cómoda y ligera.
019,Chaqueta,L,Azul,86,416,939,382,FALSE,Formal,Prenda cómoda y ligera.
020,Camiseta,XXL,Rojo,302,1292,962,816,TRUE,Deportivo,Diseño moderno y elegante.
021,Pantalón,L,Verde,334,1017,639,1238,TRUE,Formal,Material de alta calidad.
022,Sudadera,XL,Azul,350,1288,1339,547,FALSE,Deportivo,Diseño moderno y elegante.
023,Pantalón,S,Verde,257,525,544,1205,TRUE,Casual,Prenda cómoda y ligera.
024,Camiseta,M,Negro,34,1386,643,1131,FALSE,Formal,Diseño moderno y elegante.
025,Sudadera,S,Negro,166,596,1276,791,TRUE,Deportivo,Perfecta para actividades al aire libre.
026,Camiseta,S,Verde,214,503,385,858,FALSE,Casual,Material de alta calidad.
027,Sudadera,S,Verde,64,967,724,768,TRUE,Casual,Ideal para uso diario.
028,Falda,XL,Negro,196,464,1368,711,TRUE,Deportivo,Perfecta para actividades al aire libre.
029,Chaqueta,XL,Amarillo,282,1465,1069,464,TRUE,Casual,Diseño moderno y elegante.
030,Camisa,M,Verde,206,1100,842,572,TRUE,Casual,Ideal para uso diario.
031,Falda,XXL,Blanco,322,1006,1017,1065,FALSE,Casual,Prenda cómoda y ligera.
032,Camiseta,S,Rojo,298,1010,743,431,TRUE,Deportivo,Perfecta para actividades al aire libre.
033,Falda,M,Azul,482,1120,765,400,TRUE,Deportivo,Diseño moderno y elegante.
034,Camisa,L,Blanco,40,548,761,685,FALSE,Formal,Ideal para uso diario.
035,Camisa,XXL,Verde,264,783,771,1035,TRUE,Deportivo,Diseño moderno y elegante.
036,Sudadera,XXL,Amarillo,194,1261,479,310,TRUE,Deportivo,Material de alta calidad.
037,Sudadera,S,Negro,208,925,938,1270,TRUE,Formal,Ideal para uso diario.
038,Pantalón,XXL,Rojo,19,1379,539,913,TRUE,Formal,Material de alta calidad.
039,Pantalón,M,Verde,340,1338,449,406,TRUE,Casual,Diseño moderno y elegante.
040,Pantalón,M,Negro,199,1295,713,680,FALSE,Casual,Prenda cómoda y ligera.
041,Chaqueta,M,Rojo,142,777,1083,702,TRUE,Deportivo,Material de alta calidad.
042,Chaqueta,S,Amarillo,333,1089,438,567,TRUE,Casual,Diseño moderno y elegante.
043,Sudadera,XXL,Rojo,304,1271,559,1221,TRUE,Formal,Perfecta para actividades al aire libre.
044,Camiseta,S,Azul,443,424,1046,382,TRUE,Deportivo,Diseño moderno y elegante.
045,Sudadera,XL,Rojo,376,840,1152,1270,TRUE,Deportivo,Material de alta calidad.
046,Camisa,S,Rojo,121,1090,818,986,TRUE,Formal,Perfecta para actividades al aire libre.
047,Chaqueta,XL,Blanco,279,608,748,644,FALSE,Formal,Ideal para uso diario.
048,Camiseta,XXL,Amarillo,480,548,880,1278,TRUE,Formal,Ideal para uso diario.
049,Sudadera,XL,Blanco,262,1167,714,792,FALSE,Deportivo,Ideal para uso diario.
050,Sudadera,XL,Blanco,248,717,590,865,TRUE,Deportivo,Ideal para uso diario.
051,Falda,M,Blanco,323,1071,583,831,TRUE,Casual,Diseño moderno y elegante.
052,Camisa,XXL,Gris,411,963,673,689,FALSE,Casual,Material de alta calidad.
053,Pantalón,XL,Azul,405,815,1187,703,TRUE,Deportivo,Diseño moderno y elegante.
054,Falda,L,Azul,41,805,740,986,FALSE,Deportivo,Prenda cómoda y ligera.
055,Camisa,L,Blanco,111,551,1055,921,TRUE,Casual,Diseño moderno y elegante.
056,Chaqueta,XL,Negro,73,876,1056,770,FALSE,Formal,Perfecta para actividades al aire libre.
057,Camiseta,S,Rojo,37,1049,573,356,TRUE,Casual,Diseño moderno y elegante.
058,Camisa,M,Rojo,151,655,730,562,FALSE,Casual,Diseño moderno y elegante.
059,Chaqueta,XL,Gris,260,1052,368,452,TRUE,Deportivo,Ideal para uso diario.
060,Pantalón,M,Verde,405,960,1164,360,TRUE,Deportivo,Perfecta para actividades al aire libre.
061,Chaqueta,XXL,Negro,297,1055,570,1021,TRUE,Formal,Material de alta calidad.
062,Chaqueta,S,Verde,473,1180,769,482,TRUE,Formal,Perfecta para actividades al aire libre.
063,Pantalón,L,Rojo,11,708,945,654,FALSE,Casual,Prenda cómoda y ligera.
064,Falda,M,Gris,374,874,993,766,TRUE,Deportivo,Material de alta calidad.
065,Falda,L,Verde,137,685,386,1018,FALSE,Casual,Ideal para uso diario.
066,Camisa,XL,Azul,441,1151,422,621,TRUE,Deportivo,Perfecta para actividades al aire libre.
067,Pantalón,XL,Azul,17,1331,1225,704,FALSE,Deportivo,Material de alta calidad.
068,Sudadera,S,Blanco,479,571,1081,1170,FALSE,Deportivo,Diseño moderno y elegante.
069,Camisa,L,Negro,486,835,1207,911,TRUE,Deportivo,Ideal para uso diario.
070,Camiseta,XL,Rojo,364,1225,1248,358,FALSE,Casual,Perfecta para actividades al aire libre.
071,Chaqueta,L,Blanco,320,1070,1281,1014,TRUE,Casual,Ideal para uso diario.
072,Camiseta,L,Amarillo,148,1356,974,699,TRUE,Casual,Diseño moderno y elegante.
073,Falda,L,Gris,252,1283,1190,433,TRUE,Deportivo,Material de alta calidad.
074,Pantalón,XL,Rojo,28,913,1058,334,FALSE,Deportivo,Perfecta para actividades al aire libre.
075,Chaqueta,S,Verde,136,507,521,1207,TRUE,Formal,Ideal para uso diario.
076,Chaqueta,L,Azul,18,407,641,1259,TRUE,Casual,Perfecta para actividades al aire libre.
077,Sudadera,XL,Gris,453,516,520,951,FALSE,Formal,Diseño moderno y elegante.
078,Camiseta,M,Gris,360,457,959,1148,TRUE,Formal,Prenda cómoda y ligera.
079,Camiseta,L,Blanco,103,445,1191,812,TRUE,Deportivo,Ideal para uso diario.
080,Falda,S,Verde,200,680,965,875,FALSE,Deportivo,Prenda cómoda y ligera.
081,Sudadera,M,Negro,319,1008,1071,1212,TRUE,Casual,Diseño moderno y elegante.
082,Pantalón,M,Rojo,337,720,1389,431,FALSE,Formal,Diseño moderno y elegante.
083,Sudadera,XXL,Azul,275,801,780,1221,FALSE,Casual,Material de alta calidad.
084,Sudadera,XXL,Rojo,218,1167,674,1263,TRUE,Casual,Perfecta para actividades al aire libre.
085,Camisa,M,Rojo,19,527,822,791,TRUE,Casual,Material de alta calidad.
086,Pantalón,S,Gris,99,753,731,347,FALSE,Casual,Perfecta para actividades al aire libre.
087,Falda,L,Verde,317,1390,971,1123,TRUE,Casual,Ideal para uso diario.
088,Camisa,M,Azul,253,1438,1342,1009,TRUE,Casual,Material de alta calidad.
089,Camiseta,L,Verde,449,778,1177,977,TRUE,Formal,Perfecta para actividades al aire libre.
090,Camiseta,M,Verde,350,404,1221,1012,TRUE,Formal,Perfecta para actividades al aire libre.
091,Chaqueta,XXL,Amarillo,98,463,580,1271,FALSE,Deportivo,Diseño moderno y elegante.
092,Camiseta,S,Gris,226,987,490,904,TRUE,Casual,Ideal para uso diario.
093,Camiseta,L,Blanco,100,599,1336,1246,TRUE,Deportivo,Material de alta calidad.
094,Pantalón,XL,Gris,249,756,1288,425,TRUE,Casual,Diseño moderno y elegante.
095,Camiseta,XL,Negro,245,541,1095,681,TRUE,Formal,Perfecta para actividades al aire libre.
096,Falda,L,Negro,480,975,457,798,TRUE,Deportivo,Prenda cómoda y ligera.
097,Falda,XXL,Azul,51,973,785,628,TRUE,Formal,Perfecta para actividades al aire libre.
098,Sudadera,XXL,Azul,114,1491,529,476,TRUE,Casual,Perfecta para actividades al aire libre.
099,Camiseta,S,Verde,391,1067,372,366,TRUE,Formal,Ideal para uso diario.
100,Chaqueta,XL,Rojo,347,1117,565,358,TRUE,Deportivo,Diseño moderno y elegante.